TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,1,0
2020-01-23T00:00:00Z,1,0
2020-01-24T00:00:00Z,2,0
2020-01-25T00:00:00Z,2,0
2020-01-26T00:00:00Z,5,0
2020-01-27T00:00:00Z,5,0
2020-01-28T00:00:00Z,5,0
2020-01-29T00:00:00Z,5,0
2020-01-30T00:00:00Z,5,0
2020-01-31T00:00:00Z,7,0
2020-02-01T00:00:00Z,8,0
2020-02-02T00:00:00Z,8,0
2020-02-03T00:00:00Z,11,0
2020-02-04T00:00:00Z,11,0
2020-02-05T00:00:00Z,11,0
2020-02-06T00:00:00Z,11,0
2020-02-07T00:00:00Z,11,0
2020-02-08T00:00:00Z,11,0
2020-02-09T00:00:00Z,11,0
2020-02-10T00:00:00Z,11,0
2020-02-11T00:00:00Z,12,0
2020-02-12T00:00:00Z,12,0
2020-02-13T00:00:00Z,13,0
2020-02-14T00:00:00Z,13,0
2020-02-15T00:00:00Z,13,0
2020-02-16T00:00:00Z,13,0
2020-02-17T00:00:00Z,13,0
2020-02-18T00:00:00Z,13,0
2020-02-19T00:00:00Z,13,0
2020-02-20T00:00:00Z,13,0
2020-02-21T00:00:00Z,15,0
2020-02-22T00:00:00Z,15,0
2020-02-23T00:00:00Z,15,0
2020-02-24T00:00:00Z,51,0
2020-02-25T00:00:00Z,51,0
2020-02-26T00:00:00Z,57,0
2020-02-27T00:00:00Z,58,0
2020-02-28T00:00:00Z,60,0
2020-02-29T00:00:00Z,68,1
2020-03-01T00:00:00Z,74,1
2020-03-02T00:00:00Z,98,6
2020-03-03T00:00:00Z,118,7
2020-03-04T00:00:00Z,149,11
2020-03-05T00:00:00Z,217,12
2020-03-06T00:00:00Z,262,14
2020-03-07T00:00:00Z,402,17
2020-03-08T00:00:00Z,518,21
2020-03-09T00:00:00Z,583,22
2020-03-10T00:00:00Z,959,28
2020-03-11T00:00:00Z,1281,36
2020-03-12T00:00:00Z,1663,40
2020-03-13T00:00:00Z,2179,47
2020-03-14T00:00:00Z,2727,54
2020-03-15T00:00:00Z,3499,63
2020-03-16T00:00:00Z,4632,85
2020-03-17T00:00:00Z,6421,108
2020-03-18T00:00:00Z,7783,118
2020-03-19T00:00:00Z,13747,200
2020-03-20T00:00:00Z,19273,244
2020-03-21T00:00:00Z,25600,307
2020-03-22T00:00:00Z,33276,417
2020-03-23T00:00:00Z,43847,557
2020-03-24T00:00:00Z,53740,706
2020-03-25T00:00:00Z,65778,942
2020-03-26T00:00:00Z,83836,1209
2020-03-27T00:00:00Z,101657,1581
2020-03-28T00:00:00Z,121465,2026
2020-03-29T00:00:00Z,140909,2467
2020-03-30T00:00:00Z,161831,2978
2020-03-31T00:00:00Z,188172,3873
2020-04-01T00:00:00Z,213372,4757
2020-04-02T00:00:00Z,243762,5926
2020-04-03T00:00:00Z,275586,7087
2020-04-04T00:00:00Z,308853,8407
2020-04-05T00:00:00Z,337072,9619
2020-04-06T00:00:00Z,366667,10783
2020-04-07T00:00:00Z,396223,12722
2020-04-08T00:00:00Z,429052,14695
2020-04-09T00:00:00Z,461437,16478
2020-04-10T00:00:00Z,496535,18586
2020-04-11T00:00:00Z,526396,20463
