TimeLine,Cases,Deaths
2020-01-22T00:00:00Z,0,0
2020-01-23T00:00:00Z,0,0
2020-01-24T00:00:00Z,0,0
2020-01-25T00:00:00Z,0,0
2020-01-26T00:00:00Z,0,0
2020-01-27T00:00:00Z,0,0
2020-01-28T00:00:00Z,0,0
2020-01-29T00:00:00Z,0,0
2020-01-30T00:00:00Z,0,0
2020-01-31T00:00:00Z,0,0
2020-02-01T00:00:00Z,1,0
2020-02-02T00:00:00Z,1,0
2020-02-03T00:00:00Z,1,0
2020-02-04T00:00:00Z,1,0
2020-02-05T00:00:00Z,1,0
2020-02-06T00:00:00Z,1,0
2020-02-07T00:00:00Z,1,0
2020-02-08T00:00:00Z,1,0
2020-02-09T00:00:00Z,2,0
2020-02-10T00:00:00Z,2,0
2020-02-11T00:00:00Z,2,0
2020-02-12T00:00:00Z,2,0
2020-02-13T00:00:00Z,2,0
2020-02-14T00:00:00Z,2,0
2020-02-15T00:00:00Z,2,0
2020-02-16T00:00:00Z,2,0
2020-02-17T00:00:00Z,2,0
2020-02-18T00:00:00Z,2,0
2020-02-19T00:00:00Z,2,0
2020-02-20T00:00:00Z,2,0
2020-02-21T00:00:00Z,2,0
2020-02-22T00:00:00Z,2,0
2020-02-23T00:00:00Z,2,0
2020-02-24T00:00:00Z,2,0
2020-02-25T00:00:00Z,6,0
2020-02-26T00:00:00Z,13,0
2020-02-27T00:00:00Z,15,0
2020-02-28T00:00:00Z,32,0
2020-02-29T00:00:00Z,45,0
2020-03-01T00:00:00Z,84,0
2020-03-02T00:00:00Z,120,0
2020-03-03T00:00:00Z,165,1
2020-03-04T00:00:00Z,222,2
2020-03-05T00:00:00Z,259,3
2020-03-06T00:00:00Z,400,5
2020-03-07T00:00:00Z,500,10
2020-03-08T00:00:00Z,673,17
2020-03-09T00:00:00Z,1073,28
2020-03-10T00:00:00Z,1695,35
2020-03-11T00:00:00Z,2277,54
2020-03-12T00:00:00Z,2277,55
2020-03-13T00:00:00Z,5232,133
2020-03-14T00:00:00Z,6391,195
2020-03-15T00:00:00Z,7798,289
2020-03-16T00:00:00Z,9942,342
2020-03-17T00:00:00Z,11748,533
2020-03-18T00:00:00Z,13910,623
2020-03-19T00:00:00Z,17963,830
2020-03-20T00:00:00Z,20410,1043
2020-03-21T00:00:00Z,25374,1375
2020-03-22T00:00:00Z,28768,1772
2020-03-23T00:00:00Z,35136,2311
2020-03-24T00:00:00Z,39885,2808
2020-03-25T00:00:00Z,49515,3647
2020-03-26T00:00:00Z,57786,4365
2020-03-27T00:00:00Z,65719,5138
2020-03-28T00:00:00Z,73235,5982
2020-03-29T00:00:00Z,80110,6803
2020-03-30T00:00:00Z,87956,7716
2020-03-31T00:00:00Z,95923,8464
2020-04-01T00:00:00Z,104118,9387
2020-04-02T00:00:00Z,112065,10348
2020-04-03T00:00:00Z,119199,11198
2020-04-04T00:00:00Z,126168,11947
2020-04-05T00:00:00Z,131646,12641
2020-04-06T00:00:00Z,136675,13341
2020-04-07T00:00:00Z,141942,14045
2020-04-08T00:00:00Z,148220,14792
2020-04-09T00:00:00Z,153222,15447
2020-04-10T00:00:00Z,158273,16081
2020-04-11T00:00:00Z,163027,16606
2020-04-12T00:00:00Z,166831,17209
2020-04-13T00:00:00Z,170099,17756
2020-04-14T00:00:00Z,172541,18056
2020-04-15T00:00:00Z,177644,18708
